Instance	Generations	AdjSwap	Swap	Insertion	Reversal	3opt	BlockMove	BlockSwap	Cycle	Scramble	Uniform
91	10000	27532	9852	8188	4226	6101	7030	9029	14279	18791	33165
92	1	43149	42168	42971	43639	44969	40862	41737	43297	42670	42707
92	10	41051	40553	40630	40905	42903	39464	39831	41390	41629	40295
92	100	33359	28083	28409	25762	25975	27348	27243	31569	34404	38439
92	1000	26455	17042	15928	11068	12753	14823	15164	21047	24700	36352
92	10000	24667	10957	9228	4801	5879	6124	9386	12740	19069	32805
93	1	42168	42949	44414	43333	43613	40747	42674	41112	41109	41043
93	10	39850	41100	40312	39476	41369	38985	40102	36673	38879	40896
93	100	30646	28908	26252	26130	27798	26901	28851	30004	34152	38673
93	1000	26916	15242	13730	10329	11805	14108	15382	19296	27770	37088
93	10000	25059	9703	7528	4087	6290	6323	9420	12610	16662	32712
94	1	42110	42126	42082	44314	43888	43642	42727	41982	41957	42239
94	10	39888	39539	39116	40452	41168	40785	39378	40343	40897	39708
94	100	26986	25237	27845	27615	25823	25438	27783	31761	36118	36615
94	1000	21332	15080	12173	10697	13276	13602	15506	19070	24973	35785
94	10000	19809	10321	8203	4279	5778	5988	8141	12389	17733	31271
95	1	43663	42007	41756	41552	43824	41473	42251	41675	43047	40766
95	10	40799	39877	40745	39290	41699	38659	39008	41034	40375	38670
95	100	32492	28835	26191	27791	28466	27215	27676	30919	36888	38670
95	1000	27246	17394	14369	10095	13398	14376	14475	19933	24923	36118
95	10000	25462	9651	8822	4919	6292	6503	8362	12981	18131	31811
96	1	42331	42992	41619	42180	42660	42800	41282	41376	38572	43295
96	10	40331	40225	39861	40399	39705	39253	37854	38243	37836	42116
96	100	32929	26990	26574	28271	26129	27134	24519	31812	34485	35745
96	1000	28327	15667	15069	10341	12711	14141	13310	19666	26318	35012
96	10000	25023	10507	8292	4277	5637	6338	7825	11485	17693	32696
97	1	43399	43825	43163	41359	43431	42329	41770	42718	42905	41940
97	10	41339	40948	41794	38719	41182	40019	39260	39773	41295	41940
97	100	27570	29121	27538	27820	26405	25507	26748	32525	36451	39246
97	1000	23324	16689	14199	10455	14672	13294	16005	21507	24622	37008
97	10000	21654	9974	8548	4235	6143	6957	7926	12965	18415	32548
98	1	41556	41351	41648	44046	43856	44046	43098	45229	41355	40630
98	10	38860	38379	39682	40613	41902	39419	40156	40180	39419	37480
98	100	28323	28172	28194	23906	28229	26918	30016	31976	35965	37286
98	1000	26585	15477	13945	9867	13039	12689	15323	21425	24829	34667
98	10000	23098	8407	7478	4027	5923	6174	7490	11929	14484	34203
99	1	41596	42147	43312	43494	41685	42923	42573	41389	42482	41906
99	10	39000	39392	38451	41830	39596	40241	40594	39886	41317	40397
99	100	29050	26006	26511	25798	26060	26775	27823	32157	35045	38020
99	1000	26581	14639	14426	9438	12715	11593	15143	21155	26168	36061
99	10000	22131	9976	8262	4052	5578	6229	9412	12150	17378	33789
100	1	44157	42195	42747	40234	41475	44315	42167	42556	43328	43244
100	10	41601	40037	38497	38029	39506	42383	38411	38124	40630	40962
100	100	28301	27509	27915	27058	28101	25530	26175	30525	34743	39368
100	1000	21724	15964	15159	9862	13135	11363	14552	22099	23428	34115
100	10000	21068	9334	8531	4551	6050	6089	8596	13371	18072	32569
